Name_Station,Latitude_Station,Longitude_Station,Number_Of_Bikes,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Manhattan Art & Antiques Center,1,318.7413923872204,1,3.8,4,10,1.0,Antiques,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Macklowe Gallery,1,764.0266008344158,1,3.0,4,4,1.0,Jewelry,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Phyllis Lucas Gallery/Old Print Center,1,620.1583433884325,1,3.0,2,3,1.0,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,The Vein Treatment Center,1,1090.675340851927,1,3.8,4,41,1.0,Medical Spas,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Allure Plastic Surgery,1,913.9145856666108,1,3.7,2,45,1.0,Tattoo Removal,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,"Sheryl D Clark, MD",1,1008.4885690938318,1,3.6,2,23,1.0,Dermatologists,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,LaserKlinic,1,653.9461359893131,1,3.5,2,13,1.0,Medical Spas,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Bernstein Medical - Center for Hair Restoration,1,694.0282319515577,1,3.4,3,30,1.0,Dermatologists,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",40.755226,-73.965826,16,Schweiger Dermatology Group - Park Ave,1,692.161420825026,1,3.2,3,344,1.0,Dermatologists,hospital
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Kaptan's Deck,1,640.8388622499216,0,5.0,4,5,0.0,Bars,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Loopy's Eatery,1,1121.5288142467343,1,5.0,2,9,1.0,Korean,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Harajuku Sushi and Crepe,0,429.1431452081404,1,4.9,1,14,1.0,Sushi Bars,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Scott's Pizza Tours,0,429.1431452081404,0,4.8,2,381,1.0,Pizza,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Frisson Espresso,1,1310.8026297453212,1,4.8,1,35,0.0,Coffee & Tea,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,King Cab Halal Food,1,245.27370266302333,1,4.7,1,34,0.0,Halal,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Daily Provisions,1,426.9681166491224,1,4.7,2,21,1.0,Bakeries,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Buena Vista Restaurant & Bar,1,1011.322798609795,1,4.7,3,406,1.0,Bars,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Apandi BBQ,1,1184.6150149353402,1,4.7,1,6,1.0,Barbeque,restaurant
"Icon Pkg: W 29 St, 11th Ave & 10th Ave",40.752384,-74.00396,13,Non Solo Piada,1,981.7203005777636,1,4.6,2,438,1.0,Italian,restaurant
